Query,Title,Abstract,Relevant
artificial intelligence,Universal Intelligence: A Definition of Machine Intelligence,"  A fundamental problem in artificial intelligence is that nobody really knows
what intelligence is. The problem is especially acute when we need to consider
artificial systems which are significantly different to humans. In this paper
we approach this problem in the following way: We take a number of well known
informal definitions of human intelligence that have been given by experts, and
extract their essential features. These are then mathematically formalised to
produce a general measure of intelligence for arbitrary machines. We believe
that this equation formally captures the concept of machine intelligence in the
broadest reasonable sense. We then show how this formal definition is related
to the theory of universal optimal learning agents. Finally, we survey the many
other tests and definitions of intelligence that have been proposed for
machines.
",False
artificial intelligence,Tests of Machine Intelligence,"  Although the definition and measurement of intelligence is clearly of
fundamental importance to the field of artificial intelligence, no general
survey of definitions and tests of machine intelligence exists. Indeed few
researchers are even aware of alternatives to the Turing test and its many
derivatives. In this paper we fill this gap by providing a short survey of the
many tests of machine intelligence that have been proposed.
",False
artificial intelligence,The Role of Artificial Intelligence Technologies in Crisis Response,"  Crisis response poses many of the most difficult information technology in
crisis management. It requires information and communication-intensive efforts,
utilized for reducing uncertainty, calculating and comparing costs and
benefits, and managing resources in a fashion beyond those regularly available
to handle routine problems. In this paper, we explore the benefits of
artificial intelligence technologies in crisis response. This paper discusses
the role of artificial intelligence technologies; namely, robotics, ontology
and semantic web, and multi-agent systems in crisis response.
",False
artificial intelligence,2006: Celebrating 75 years of AI - History and Outlook: the Next 25 Years,"  When Kurt Goedel layed the foundations of theoretical computer science in
1931, he also introduced essential concepts of the theory of Artificial
Intelligence (AI). Although much of subsequent AI research has focused on
heuristics, which still play a major role in many practical AI applications, in
the new millennium AI theory has finally become a full-fledged formal science,
with important optimality results for embodied agents living in unknown
environments, obtained through a combination of theory a la Goedel and
probability theory. Here we look back at important milestones of AI history,
mention essential recent results, and speculate about what we may expect from
the next 25 years, emphasizing the significance of the ongoing dramatic
hardware speedups, and discussing Goedel-inspired, self-referential,
self-improving universal problem solvers.
",False
quantum algorithms,The Road to Quantum Artificial Intelligence,"  This paper overviews the basic principles and recent advances in the emerging
field of Quantum Computation (QC), highlighting its potential application to
Artificial Intelligence (AI). The paper provides a very brief introduction to
basic QC issues like quantum registers, quantum gates and quantum algorithms
and then it presents references, ideas and research guidelines on how QC can be
used to deal with some basic AI problems, such as search and pattern matching,
as soon as quantum computers become widely available.
",False
object detection,View Based Methods can achieve Bayes-Optimal 3D Recognition,"  This paper proves that visual object recognition systems using only 2D
Euclidean similarity measurements to compare object views against previously
seen views can achieve the same recognition performance as observers having
access to all coordinate information and able of using arbitrary 3D models
internally. Furthermore, it demonstrates that such systems do not require more
training views than Bayes-optimal 3D model-based systems. For building computer
vision systems, these results imply that using view-based or appearance-based
techniques with carefully constructed combination of evidence mechanisms may
not be at a disadvantage relative to 3D model-based systems. For computational
approaches to human vision, they show that it is impossible to distinguish
view-based and 3D model-based techniques for 3D object recognition solely by
comparing the performance achievable by human and 3D model-based systems.}
",False
computer vision,"I'm sorry to say, but your understanding of image processing fundamentals is absolutely wrong","  The ongoing discussion whether modern vision systems have to be viewed as
visually-enabled cognitive systems or cognitively-enabled vision systems is
groundless, because perceptual and cognitive faculties of vision are separate
components of human (and consequently, artificial) information processing
system modeling.
",False
computer vision,Image Processing in Optical Guidance for Autonomous Landing of Lunar Probe,"  Because of the communication delay between earth and moon, the GNC technology
of lunar probe is becoming more important than ever. Current navigation
technology is not able to provide precise motion estimation for probe landing
control system Computer vision offers a new approach to solve this problem. In
this paper, author introduces an image process algorithm of computer vision
navigation for autonomous landing of lunar probe. The purpose of the algorithm
is to detect and track feature points which are factors of navigation. Firstly,
fixation areas are detected as sub-images and matched. Secondly, feature points
are extracted from sub-images and tracked. Computer simulation demonstrates the
result of algorithm takes less computation and fulfils requests of navigation
algorithm.
",False
computer vision,On Ullman's theorem in computer vision,"  Both in the plane and in space, we invert the nonlinear Ullman transformation
for 3 points and 3 orthographic cameras. While Ullman's theorem assures a
unique reconstruction modulo a reflection for 3 cameras and 4 points, we find a
locally unique reconstruction for 3 cameras and 3 points. Explicit
reconstruction formulas allow to decide whether picture data of three cameras
seeing three points can be realized as a point-camera configuration.
",False
computer vision,Acquisition Accuracy Evaluation in Visual Inspection Systems - a Practical Approach,"  This paper draws a proposal of a set of parameters and methods for accuracy
evaluation of visual inspection systems. The case of a monochrome board is
treated, but practically all conclusions and methods may be extended for colour
acquisition. Basically, the proposed parameters are grouped in five sets as
follows:Internal noise;Video ADC cuantisation parameters;Analogue processing
section parameters;Dominant frequencies;Synchronisation (lock-in) accuracy. On
basis of this set of parameters was developed a software environment, in
conjunction with a test signal generator that allows the ""test"" images. The
paper also presents conclusions of evaluation for two types of video
acquisition boards
",False
semantic search,A Robust Linguistic Platform for Efficient and Domain specific Web Content Analysis,"  Web semantic access in specific domains calls for specialized search engines
with enhanced semantic querying and indexing capacities, which pertain both to
information retrieval (IR) and to information extraction (IE). A rich
linguistic analysis is required either to identify the relevant semantic units
to index and weight them according to linguistic specific statistical
distribution, or as the basis of an information extraction process. Recent
developments make Natural Language Processing (NLP) techniques reliable enough
to process large collections of documents and to enrich them with semantic
annotations. This paper focuses on the design and the development of a text
processing platform, Ogmios, which has been developed in the ALVIS project. The
Ogmios platform exploits existing NLP modules and resources, which may be tuned
to specific domains and produces linguistically annotated documents. We show
how the three constraints of genericity, domain semantic awareness and
performance can be handled all together.
",False
natural language processing,In memoriam Maurice Gross,"  Maurice Gross (1934-2001) was both a great linguist and a pioneer in natural
language processing. This article is written in homage to his memory
",False
natural language processing,Framework and Resources for Natural Language Parser Evaluation,"  Because of the wide variety of contemporary practices used in the automatic
syntactic parsing of natural languages, it has become necessary to analyze and
evaluate the strengths and weaknesses of different approaches. This research is
all the more necessary because there are currently no genre- and
domain-independent parsers that are able to analyze unrestricted text with 100%
preciseness (I use this term to refer to the correctness of analyses assigned
by a parser). All these factors create a need for methods and resources that
can be used to evaluate and compare parsing systems. This research describes:
(1) A theoretical analysis of current achievements in parsing and parser
evaluation. (2) A framework (called FEPa) that can be used to carry out
practical parser evaluations and comparisons. (3) A set of new evaluation
resources: FiEval is a Finnish treebank under construction, and MGTS and RobSet
are parser evaluation resources in English. (4) The results of experiments in
which the developed evaluation framework and the two resources for English were
used for evaluating a set of selected parsers.
",False
natural language processing,Valence extraction using EM selection and co-occurrence matrices,"  This paper discusses two new procedures for extracting verb valences from raw
texts, with an application to the Polish language. The first novel technique,
the EM selection algorithm, performs unsupervised disambiguation of valence
frame forests, obtained by applying a non-probabilistic deep grammar parser and
some post-processing to the text. The second new idea concerns filtering of
incorrect frames detected in the parsed text and is motivated by an observation
that verbs which take similar arguments tend to have similar frames. This
phenomenon is described in terms of newly introduced co-occurrence matrices.
Using co-occurrence matrices, we split filtering into two steps. The list of
valid arguments is first determined for each verb, whereas the pattern
according to which the arguments are combined into frames is computed in the
following stage. Our best extracted dictionary reaches an $F$-score of 45%,
compared to an $F$-score of 39% for the standard frame-based BHT filtering.
",False
natural language processing,Evaluation of a Grammar of French Determiners,"  Existing syntactic grammars of natural languages, even with a far from
complete coverage, are complex objects. Assessments of the quality of parts of
such grammars are useful for the validation of their construction. We evaluated
the quality of a grammar of French determiners that takes the form of a
recursive transition network. The result of the application of this local
grammar gives deeper syntactic information than chunking or information
available in treebanks. We performed the evaluation by comparison with a corpus
independently annotated with information on determiners. We obtained 86%
precision and 92% recall on text not tagged for parts of speech.
",False
transformer models,A Novel Piezoelectric Microtransformer for Autonmous Sensors Applications,"  This work relates to a novel piezoelectric transformer to be used in an
autonomous sensor unit, possibly in conjunction with a RF-MEMS retro-modulator.
",False
transformer models,Quadrature formulas for the Laplace and Mellin transforms,"  A discrete Laplace transform and its inversion formula are obtained by using a quadrature of the continuous Fourier transform which is given in terms of Hermite polynomials and its zeros. This approach yields a convergent discrete formula for the two-sided Laplace transform if the function to be transformed falls off rapidly to zero and satisfy certain conditions of integrability, achieving convergence also for singular functions. The inversion formula becomes a quadrature formula for the Bromwich integral. This procedure also yields a quadrature formula for the Mellin transform and its corresponding inversion formula that can be generalized straightforwardly for functions of several variables.",False
transformer models,Computational aspects and applications of a new transform for solving the complex exponentials approximation problem,"  Many real life problems can be reduced to the solution of a complex exponentials approximation problem which is usually ill posed. Recently a new transform for solving this problem, formulated as a specific moments problem in the plane, has been proposed in a theoretical framework. In this work some computational issues are addressed to make this new tool useful in practice. An algorithm is developed and used to solve a Nuclear Magnetic Resonance spectrometry problem, two time series interpolation and extrapolation problems and a shape from moments problem.",False
transformer models,Morphing Ensemble Kalman Filters,"  A new type of ensemble filter is proposed, which combines an ensemble Kalman
filter (EnKF) with the ideas of morphing and registration from image
processing. This results in filters suitable for nonlinear problems whose
solutions exhibit moving coherent features, such as thin interfaces in wildfire
modeling. The ensemble members are represented as the composition of one common
state with a spatial transformation, called registration mapping, plus a
residual. A fully automatic registration method is used that requires only
gridded data, so the features in the model state do not need to be identified
by the user. The morphing EnKF operates on a transformed state consisting of
the registration mapping and the residual. Essentially, the morphing EnKF uses
intermediate states obtained by morphing instead of linear combinations of the
states.
",False
transformer models,Belief Propagation and Loop Series on Planar Graphs,"  We discuss a generic model of Bayesian inference with binary variables
defined on edges of a planar graph. The Loop Calculus approach of [1, 2] is
used to evaluate the resulting series expansion for the partition function. We
show that, for planar graphs, truncating the series at single-connected loops
reduces, via a map reminiscent of the Fisher transformation [3], to evaluating
the partition function of the dimer matching model on an auxiliary planar
graph. Thus, the truncated series can be easily re-summed, using the Pfaffian
formula of Kasteleyn [4]. This allows to identify a big class of
computationally tractable planar models reducible to a dimer model via the
Belief Propagation (gauge) transformation. The Pfaffian representation can also
be extended to the full Loop Series, in which case the expansion becomes a sum
of Pfaffian contributions, each associated with dimer matchings on an extension
to a subgraph of the original graph. Algorithmic consequences of the Pfaffian
representation, as well as relations to quantum and non-planar models, are
discussed.
",False
large language models,Methods to integrate a language model with semantic information for a word prediction component,"  Most current word prediction systems make use of n-gram language models (LM)
to estimate the probability of the following word in a phrase. In the past
years there have been many attempts to enrich such language models with further
syntactic or semantic information. We want to explore the predictive powers of
Latent Semantic Analysis (LSA), a method that has been shown to provide
reliable information on long-distance semantic dependencies between words in a
context. We present and evaluate here several methods that integrate LSA-based
information with a standard language model: a semantic cache, partial
reranking, and different forms of interpolation. We found that all methods show
significant improvements, compared to the 4-gram baseline, and most of them to
a simple cache model as well.
",False
large language models,Demographic growth and the distribution of language sizes,"  It is argued that the present log-normal distribution of language sizes is,
to a large extent, a consequence of demographic dynamics within the population
of speakers of each language. A two-parameter stochastic multiplicative process
is proposed as a model for the population dynamics of individual languages, and
applied over a period spanning the last ten centuries. The model disregards
language birth and death. A straightforward fitting of the two parameters,
which statistically characterize the population growth rate, predicts a
distribution of language sizes in excellent agreement with empirical data.
Numerical simulations, and the study of the size distribution within language
families, validate the assumptions at the basis of the model.
",False
large language models,The emerging field of language dynamics,"  A simple review by a linguist, citing many articles by physicists:
Quantitative methods, agent-based computer simulations, language dynamics,
language typology, historical linguistics
",False
large language models,Hubs in Languages: Scale Free Networks of Synonyms,"  Natural languages are described in this paper in terms of networks of
synonyms: a word is identified with a node, and synonyms are connected by
undirected links. Our statistical analysis of the network of synonyms in Polish
language showed it is scale-free; similar to what is known for English. The
statistical properties of the networks are also similar. Thus, the statistical
aspects of the networks are good candidates for culture independent elements of
human language. We hypothesize that optimization for robustness and efficiency
is responsible for this universality. Despite the statistical similarity, there
is no one-to-one mapping between networks of these two languages. Although many
hubs in Polish are translated into similarly highly connected hubs in English,
there are also hubs specific to one of these languages only: a single word in
one language is equivalent to many different and disconnected words in the
other, in accordance with the Whorf hypothesis about language relativity.
Identifying language-specific hubs is vitally important for automatic
translation, and for understanding contextual, culturally related messages that
are frequently missed or twisted in a naive, literary translation.
",False
large language models,Towards a stable definition of Kolmogorov-Chaitin complexity,"  Although information content is invariant up to an additive constant, the
range of possible additive constants applicable to programming languages is so
large that in practice it plays a major role in the actual evaluation of K(s),
the Kolmogorov-Chaitin complexity of a string s. Some attempts have been made
to arrive at a framework stable enough for a concrete definition of K,
independent of any constant under a programming language, by appealing to the
""naturalness"" of the language in question. The aim of this paper is to present
an approach to overcome the problem by looking at a set of models of
computation converging in output probability distribution such that that
""naturalness"" can be inferred, thereby providing a framework for a stable
definition of K under the set of convergent models of computation.
",False
graph neural networks,Image Authentication Based on Neural Networks,"  Neural network has been attracting more and more researchers since the past
decades. The properties, such as parameter sensitivity, random similarity,
learning ability, etc., make it suitable for information protection, such as
data encryption, data authentication, intrusion detection, etc. In this paper,
by investigating neural networks' properties, the low-cost authentication
method based on neural networks is proposed and used to authenticate images or
videos. The authentication method can detect whether the images or videos are
modified maliciously. Firstly, this chapter introduces neural networks'
properties, such as parameter sensitivity, random similarity, diffusion
property, confusion property, one-way property, etc. Secondly, the chapter
gives an introduction to neural network based protection methods. Thirdly, an
image or video authentication scheme based on neural networks is presented, and
its performances, including security, robustness and efficiency, are analyzed.
Finally, conclusions are drawn, and some open issues in this field are
presented.
",False
graph neural networks,Machine and Component Residual Life Estimation through the Application of Neural Networks,"  This paper concerns the use of neural networks for predicting the residual
life of machines and components. In addition, the advantage of using
condition-monitoring data to enhance the predictive capability of these neural
networks was also investigated. A number of neural network variations were
trained and tested with the data of two different reliability-related datasets.
The first dataset represents the renewal case where the failed unit is repaired
and restored to a good-as-new condition. Data was collected in the laboratory
by subjecting a series of similar test pieces to fatigue loading with a
hydraulic actuator. The average prediction error of the various neural networks
being compared varied from 431 to 841 seconds on this dataset, where test
pieces had a characteristic life of 8,971 seconds. The second dataset was
collected from a group of pumps used to circulate a water and magnetite
solution within a plant. The data therefore originated from a repaired system
affected by reliability degradation. When optimized, the multi-layer perceptron
neural networks trained with the Levenberg-Marquardt algorithm and the general
regression neural network produced a sum-of-squares error within 11.1% of each
other. The potential for using neural networks for residual life prediction and
the advantage of incorporating condition-based data into the model were proven
for both examples.
",False
graph neural networks,Lossless Representation of Graphs using Distributions,"  We consider complete graphs with edge weights and/or node weights taking
values in some set. In the first part of this paper, we show that a large
number of graphs are completely determined, up to isomorphism, by the
distribution of their sub-triangles. In the second part, we propose graph
representations in terms of one-dimensional distributions (e.g., distribution
of the node weights, sum of adjacent weights, etc.). For the case when the
weights of the graph are real-valued vectors, we show that all graphs, except
for a set of measure zero, are uniquely determined, up to isomorphism, from
these distributions. The motivating application for this paper is the problem
of browsing through large sets of graphs.
",False
graph neural networks,Option Pricing Using Bayesian Neural Networks,"  Options have provided a field of much study because of the complexity
involved in pricing them. The Black-Scholes equations were developed to price
options but they are only valid for European styled options. There is added
complexity when trying to price American styled options and this is why the use
of neural networks has been proposed. Neural Networks are able to predict
outcomes based on past data. The inputs to the networks here are stock
volatility, strike price and time to maturity with the output of the network
being the call option price. There are two techniques for Bayesian neural
networks used. One is Automatic Relevance Determination (for Gaussian
Approximation) and one is a Hybrid Monte Carlo method, both used with
Multi-Layer Perceptrons.
",False
federated learning,Reinforcement Learning by Value Gradients,"  The concept of the value-gradient is introduced and developed in the context
of reinforcement learning. It is shown that by learning the value-gradients
exploration or stochastic behaviour is no longer needed to find locally optimal
trajectories. This is the main motivation for using value-gradients, and it is
argued that learning value-gradients is the actual objective of any
value-function learning algorithm for control problems. It is also argued that
learning value-gradients is significantly more efficient than learning just the
values, and this argument is supported in experiments by efficiency gains of
several orders of magnitude, in several problem domains. Once value-gradients
are introduced into learning, several analyses become possible. For example, a
surprising equivalence between a value-gradient learning algorithm and a
policy-gradient learning algorithm is proven, and this provides a robust
convergence proof for control problems using a value function with a general
function approximator.
",False
reinforcement learning,Rollout Sampling Approximate Policy Iteration,"  Several researchers have recently investigated the connection between
reinforcement learning and classification. We are motivated by proposals of
approximate policy iteration schemes without value functions which focus on
policy representation using classifiers and address policy learning as a
supervised learning problem. This paper proposes variants of an improved policy
iteration scheme which addresses the core sampling problem in evaluating a
policy through simulation as a multi-armed bandit machine. The resulting
algorithm offers comparable performance to the previous algorithm achieved,
however, with significantly less computational effort. An order of magnitude
improvement is demonstrated experimentally in two standard reinforcement
learning domains: inverted pendulum and mountain-car.
",False
reinforcement learning,Statistical-mechanics approach to a reinforcement learning model with memory,"  We introduce a two-player model of reinforcement learning with memory. Past
actions of an iterated game are stored in a memory and used to determine
player's next action. To examine the behaviour of the model some approximate
methods are used and confronted against numerical simulations and exact master
equation. When the length of memory of players increases to infinity the model
undergoes an absorbing-state phase transition. Performance of examined
strategies is checked in the prisoner' dilemma game. It turns out that it is
advantageous to have a large memory in symmetric games, but it is better to
have a short memory in asymmetric ones.
",False
reinforcement learning,Universal Reinforcement Learning,"  We consider an agent interacting with an unmodeled environment. At each time,
the agent makes an observation, takes an action, and incurs a cost. Its actions
can influence future observations and costs. The goal is to minimize the
long-term average cost. We propose a novel algorithm, known as the active LZ
algorithm, for optimal control based on ideas from the Lempel-Ziv scheme for
universal data compression and prediction. We establish that, under the active
LZ algorithm, if there exists an integer $K$ such that the future is
conditionally independent of the past given a window of $K$ consecutive actions
and observations, then the average cost converges to the optimum. Experimental
results involving the game of Rock-Paper-Scissors illustrate merits of the
algorithm.
",False
reinforcement learning,Multi-Agent Modeling Using Intelligent Agents in the Game of Lerpa,"  Game theory has many limitations implicit in its application. By utilizing
multiagent modeling, it is possible to solve a number of problems that are
unsolvable using traditional game theory. In this paper reinforcement learning
is applied to neural networks to create intelligent agents
",False
federated learning,Enabling Adaptive Grid Scheduling and Resource Management,"  Wider adoption of the Grid concept has led to an increasing amount of
federated computational, storage and visualisation resources being available to
scientists and researchers. Distributed and heterogeneous nature of these
resources renders most of the legacy cluster monitoring and management
approaches inappropriate, and poses new challenges in workflow scheduling on
such systems. Effective resource utilisation monitoring and highly granular yet
adaptive measurements are prerequisites for a more efficient Grid scheduler. We
present a suite of measurement applications able to monitor per-process
resource utilisation, and a customisable tool for emulating observed
utilisation models. We also outline our future work on a predictive and
probabilistic Grid scheduler. The research is undertaken as part of UK
e-Science EPSRC sponsored project SO-GRM (Self-Organising Grid Resource
Management) in cooperation with BT.
",False
federated learning,Dimensionally Distributed Learning: Models and Algorithm,"  This paper introduces a framework for regression with dimensionally
distributed data with a fusion center. A cooperative learning algorithm, the
iterative conditional expectation algorithm (ICEA), is designed within this
framework. The algorithm can effectively discover linear combinations of
individual estimators trained by each agent without transferring and storing
large amount of data amongst the agents and the fusion center. The convergence
of ICEA is explored. Specifically, for a two agent system, each complete round
of ICEA is guaranteed to be a non-expansive map on the function space of each
agent. The advantages and limitations of ICEA are also discussed for data sets
with various distributions and various hidden rules. Moreover, several
techniques are also designed to leverage the algorithm to effectively learn
more complex hidden rules that are not linearly decomposable.
",False
federated learning,Developing a Collaborative and Autonomous Training and Learning Environment for Hybrid Wireless Networks,"  With larger memory capacities and the ability to link into wireless networks,
more and more students uses palmtop and handheld computers for learning
activities. However, existing software for Web-based learning is not
well-suited for such mobile devices, both due to constrained user interfaces as
well as communication effort required. A new generation of applications for the
learning domain that is explicitly designed to work on these kinds of small
mobile devices has to be developed. For this purpose, we introduce CARLA, a
cooperative learning system that is designed to act in hybrid wireless
networks. As a cooperative environment, CARLA aims at disseminating teaching
material, notes, and even components of itself through both fixed and mobile
networks to interested nodes. Due to the mobility of nodes, CARLA deals with
upcoming problems such as network partitions and synchronization of teaching
material, resource dependencies, and time constraints.
",False
few shot learning,Learning Low-Density Separators,"  We define a novel, basic, unsupervised learning problem - learning the lowest
density homogeneous hyperplane separator of an unknown probability
distribution. This task is relevant to several problems in machine learning,
such as semi-supervised learning and clustering stability. We investigate the
question of existence of a universally consistent algorithm for this problem.
We propose two natural learning paradigms and prove that, on input unlabeled
random samples generated by any member of a rich family of distributions, they
are guaranteed to converge to the optimal separator for that distribution. We
complement this result by showing that no learning algorithm for our task can
achieve uniform learning rates (that are independent of the data generating
distribution).
",False
transfer learning,Oblivious Transfer based on Key Exchange,"  Key-exchange protocols have been overlooked as a possible means for
implementing oblivious transfer (OT). In this paper we present a protocol for
mutual exchange of secrets, 1-out-of-2 OT and coin flipping similar to
Diffie-Hellman protocol using the idea of obliviously exchanging encryption
keys. Since, Diffie-Hellman scheme is widely used, our protocol may provide a
useful alternative to the conventional methods for implementation of oblivious
transfer and a useful primitive in building larger cryptographic schemes.
",False
transfer learning,Composable Security in the Bounded-Quantum-Storage Model,"  We present a simplified framework for proving sequential composability in the
quantum setting. In particular, we give a new, simulation-based, definition for
security in the bounded-quantum-storage model, and show that this definition
allows for sequential composition of protocols. Damgard et al. (FOCS '05,
CRYPTO '07) showed how to securely implement bit commitment and oblivious
transfer in the bounded-quantum-storage model, where the adversary is only
allowed to store a limited number of qubits. However, their security
definitions did only apply to the standalone setting, and it was not clear if
their protocols could be composed. Indeed, we first give a simple attack that
shows that these protocols are not composable without a small refinement of the
model. Finally, we prove the security of their randomized oblivious transfer
protocol in our refined model. Secure implementations of oblivious transfer and
bit commitment then follow easily by a (classical) reduction to randomized
oblivious transfer.
",False
transfer learning,Neural networks in 3D medical scan visualization,"  For medical volume visualization, one of the most important tasks is to
reveal clinically relevant details from the 3D scan (CT, MRI ...), e.g. the
coronary arteries, without obscuring them with less significant parts. These
volume datasets contain different materials which are difficult to extract and
visualize with 1D transfer functions based solely on the attenuation
coefficient. Multi-dimensional transfer functions allow a much more precise
classification of data which makes it easier to separate different surfaces
from each other. Unfortunately, setting up multi-dimensional transfer functions
can become a fairly complex task, generally accomplished by trial and error.
This paper explains neural networks, and then presents an efficient way to
speed up visualization process by semi-automatic transfer function generation.
We describe how to use neural networks to detect distinctive features shown in
the 2D histogram of the volume data and how to use this information for data
classification.
",False
transfer learning,Interface groups and financial transfer architectures,"  Analytic execution architectures have been proposed by the same authors as a
means to conceptualize the cooperation between heterogeneous collectives of
components such as programs, threads, states and services. Interface groups
have been proposed as a means to formalize interface information concerning
analytic execution architectures. These concepts are adapted to organization
architectures with a focus on financial transfers. Interface groups (and
monoids) now provide a technique to combine interface elements into interfaces
with the flexibility to distinguish between directions of flow dependent on
entity naming.
  The main principle exploiting interface groups is that when composing a
closed system of a collection of interacting components, the sum of their
interfaces must vanish in the interface group modulo reflection. This certainly
matters for financial transfer interfaces.
  As an example of this, we specify an interface group and within it some
specific interfaces concerning the financial transfer architecture for a part
of our local academic organization.
  Financial transfer interface groups arise as a special case of more general
service architecture interfaces.
",False
